"date","to_fetch","text"
"2020-07-25 12:21:40",False,"@RepMattGaetz @realDonaldTrump @GaetzTakes How much will dead and  #COVID19 sufferers spend?"
"2020-07-25 12:21:37",True,1287000049105301504
"2020-07-25 12:21:35",True,1287000041954123776
"2020-07-25 12:21:35",False,"Are people working in shops supposed to wear face covering? #COVID19 #England"
"2020-07-25 12:21:34",True,1287000035117473792
"2020-07-25 12:21:32",True,1287000029102854148
"2020-07-25 12:21:26",True,1287000002565292033
"2020-07-25 12:21:26",True,1287000001646718977
"2020-07-25 12:21:24",True,1286999992998277125
"2020-07-25 12:21:23",True,1286999990146039809
"2020-07-25 12:21:18",True,1286999968402685953
"2020-07-25 12:21:16",True,1286999961746280449
"2020-07-25 12:21:13",True,1286999949415071744
"2020-07-25 12:21:12",True,1286999942880346115
"2020-07-25 12:21:10",True,1286999935343144960
"2020-07-25 12:21:10",True,1286999934776930304
"2020-07-25 12:21:06",False,"How is the US such a colossal #COVID19 failure? https://t.co/jKcTgTF67V"
"2020-07-25 12:21:04",True,1286999909430960128
"2020-07-25 12:21:03",False,"Rutland's own, supporting #COVID19 testing https://t.co/sVtRf11T3s"
"2020-07-25 12:21:02",True,1286999902308847616
"2020-07-25 12:21:02",False,"100% feeling good and 0% some symptoms🙃 Long May it last 🤞🏻 #COVID19 🦠🤛🏻 https://t.co/37Dc8BweJO"
"2020-07-25 12:21:00",True,1286999892066545667
"2020-07-25 12:20:59",False,"@TheDailyEdge @seanhannity @FoxNews So he can spread lies, hate, sexual violence, and murder. #COVID19 #FoxNews"
"2020-07-25 12:20:58",True,1286999886819459072
"2020-07-25 12:20:58",False,"##COVID19 and New York retail https://t.co/aUv60GNyfE"
"2020-07-25 12:20:55",False,"#COVID19: Delhi reported 1,142 new cases and 29 deaths today, taking the total number of cases to 1,29,531 and death tally to 3,806."
"2020-07-25 12:20:54",True,1286999869182287872
"2020-07-25 12:20:53",True,1286999863578603521
"2020-07-25 12:20:46",False,"@UrsulaIreneRay1 @VijayShadean #SouthAfrica #tourism @GoToSouthAfrica #CarteBlanche #COVID19 #Cricket #Rugby not sure of the breed"
"2020-07-25 12:20:43",True,1286999820616388608
"2020-07-25 12:20:42",True,1286999818913513476
"2020-07-25 12:20:41",False,"#Brazil’s #Bilsonaro who tested positive for #COVID19 says his latest test result was negative."
"2020-07-25 12:20:41",True,1286999813377024000
"2020-07-25 12:20:39",True,1286999804074242052
"2020-07-25 12:20:39",True,1286999803990167554
"2020-07-25 12:20:37",True,1286999798047014912
"2020-07-25 12:20:36",False,"STOP FOGGY GLASSES WITH THIS HACK!!!!!! #COVID19 #facecoverings #maskproblems #facemask #hack #maskhack #MaskMoaners https://t.co/IjuRQVuBHL"
"2020-07-25 12:20:33",True,1286999777964699649
"2020-07-25 12:20:32",False,"#COVID19 is the religion of 21st Century Jews fighting 21st Century Christian Evangelicals"
"2020-07-25 12:20:32",True,1286999774143623170
"2020-07-25 12:20:28",True,1286999758813396992
"2020-07-25 12:20:25",True,1286999746792402945
"2020-07-25 12:20:25",False,"@BenJamesPhotos Pink #BENPC #LOCKDOWNPHOTOCHALLENGE #COVID19 #SaturdayMorning #flowers https://t.co/DLGgosBPjQ"
"2020-07-25 12:20:24",True,1286999744007540737
"2020-07-25 12:20:24",True,1286999743436972032
"2020-07-25 12:20:23",True,1286999738072674305
"2020-07-25 12:20:22",False,"My uncle just tested positive for #COVID19 , we already lost 3 family members. 

PLEASE wear a mask,social distance. https://t.co/YoXI0LbeLI"
"2020-07-25 12:20:20",True,1286999725275840517
"2020-07-25 12:20:19",True,1286999720863379456
"2020-07-25 12:20:19",True,1286999719382618112
"2020-07-25 12:20:16",True,1286999707399536640
"2020-07-25 12:20:11",True,1286999687875133440
"2020-07-25 12:20:04",True,1286999659731398657
"2020-07-25 12:20:03",True,1286999655818067969
"2020-07-25 12:20:03",True,1286999654882783233
"2020-07-25 12:20:03",True,1286999652156477441
"2020-07-25 12:20:02",True,1286999650122084352
"2020-07-25 12:20:00",True,1286999642484350977
"2020-07-25 12:20:00",True,1286999640550903808
"2020-07-25 12:20:00",False,"#APEC reaffirms #COVID19 economic recovery priorities, movement of essential goods https://t.co/sWRE9l9Fss"
"2020-07-25 12:20:00",True,1286999640458444800
"2020-07-25 12:19:59",False,"Cautious optimism? Arizona May be plateauing with #COVID19   Potential good news.  https://t.co/j20GOpHK04"
"2020-07-25 12:19:56",False,"Want A #COVID19 Test? It’s Much Easier To Get In Wealthier, Whiter Neighborhoods #TestingWhileBlack https://t.co/vCdDRLHFEs"
"2020-07-25 12:19:55",True,1286999618593550339
"2020-07-25 12:19:52",True,1286999609575907328
"2020-07-25 12:19:50",True,1286999599643852801
"2020-07-25 12:19:45",True,1286999579460870144
"2020-07-25 12:19:45",True,1286999578927968261
"2020-07-25 12:19:42",True,1286999565628067840
"2020-07-25 12:19:41",False,"The truth about #COVID19 has to be around here somewhere.

#coronavirus update #SaturdayMorning #saturdayvibes https://t.co/7hiLER0fHc"
"2020-07-25 12:19:37",True,1286999545096937472
"2020-07-25 12:19:30",False,"Three Cs is a term I hadn’t heard before. Good advice. 

#GoodAdvice 
#COVID19 https://t.co/ykSvJbILKP"
"2020-07-25 12:19:29",True,1286999511689093121
"2020-07-25 12:19:19",False,"Great to be with @ABC7Robert yesterday on @ABC7GMW #SocialDistancing #BBQ #COVID19 #COVID19 https://t.co/XSi0CvTSga"
"2020-07-25 12:19:18",True,1286999466650865664
"2020-07-25 12:19:18",True,1286999463651938304
"2020-07-25 12:19:16",True,1286999456756502529
"2020-07-25 12:19:14",False,"Great tips from our friends at @samhsagov! #COVID19 #InThisTogether https://t.co/BtsiHvnGB3"
"2020-07-25 12:19:14",True,1286999448518828032
"2020-07-25 12:19:13",True,1286999445759045634
"2020-07-25 12:19:09",True,1286999427912278018
"2020-07-25 12:19:09",False,"Pandemic could push more N. Carolina families to home school | Miami Herald https://t.co/7OhF8j1uMb #homeschooling #COVID19 #coronavirus #NC"
"2020-07-25 12:19:07",True,1286999417430712320
"2020-07-25 12:19:06",False,"Government (Tabla player) of most of the countries during #pandemic 
#COVID #COVID19 https://t.co/7Ww1o4IFxL"
"2020-07-25 12:19:05",True,1286999412439425024
"2020-07-25 12:19:04",True,1286999405879492608
"2020-07-25 12:18:54",False,"It so brilliant to see people awake and not accepting the #COVID19 mainstream narrative."
"2020-07-25 12:18:52",True,1286999357095477248
"2020-07-25 12:18:50",True,1286999346286862337
"2020-07-25 12:18:49",False,"100%  feeling good ! Sounds like a soul song ! #COVID19 https://t.co/E5fp3sIBl5"
"2020-07-25 12:18:48",True,1286999339315929089
"2020-07-25 12:18:42",False,"Are we still doing the travel credit ???
#COVID19 #Stimulus"
"2020-07-25 12:18:41",True,1286999309288984577
"2020-07-25 12:18:39",True,1286999301005008898
"2020-07-25 12:18:38",True,1286999297310040065
"2020-07-25 12:18:37",True,1286999294306742273
"2020-07-25 12:18:36",False,"Sad Reality: Hundreds of Cars line up drive thru Food Drive in Florida https://t.co/3pQoULuznu  

#COVID19"
"2020-07-25 12:18:36",True,1286999288443072513
"2020-07-25 12:18:30",True,1286999263592042500
"2020-07-25 12:18:26",False,"If this is not AWESOMENESS, I don't know what is👇👇👇

#BBNaijia2020 #RihannaXTiwa #alreadyvideo #COVID19 https://t.co/gUjp3t8OLd"
"2020-07-25 12:18:22",True,1286999232549916674
"2020-07-25 12:18:22",False,"Drive-through #COVID19 testing hours at the Kinsmen changing on Monday 👉 https://t.co/St5xGZnlIS https://t.co/foVq2iBU2q"
"2020-07-25 12:18:20",True,1286999223242829826
"2020-07-25 12:18:19",True,1286999218553487366
"2020-07-25 12:18:16",True,1286999205089816580
"2020-07-25 12:18:14",True,1286999196357328898
"2020-07-25 12:18:13",True,1286999194566193153
"2020-07-25 12:18:12",False,"An expert explains: Why it's wrong to talk about a second wave of COVID-19 https://t.co/nFHAIhd9VL #covid19"
"2020-07-25 12:18:06",True,1286999164048437250
"2020-07-25 12:18:04",True,1286999155404152834
"2020-07-25 12:18:02",True,1286999145232781312
"2020-07-25 12:17:58",True,1286999129932136449
"2020-07-25 12:17:54",False,"#COVID19 #testing programme on #Cyprus customer service employees ongoing.

Source: https://t.co/zqOR1zCbmx"
"2020-07-25 12:17:52",True,1286999106360094720
"2020-07-25 12:17:52",False,"#COVIDUpdates: #COVID19 cases in the last 24 hours as on 25/07/2020 till 10 AM 
#APFightsCorona #COVID19Pandemic https://t.co/wEfGviENYT"
"2020-07-25 12:17:51",True,1286999099095560192
"2020-07-25 12:17:50",False,"#bbcaq Oh yes, I am sure we will be perfectly happy with self-certification re #distress with #wearingamask #wearamask #viralload #COVID19"
"2020-07-25 12:17:50",True,1286999097744875520
"2020-07-25 12:17:49",True,1286999093949149184
"2020-07-25 12:17:49",True,1286999091424251904
"2020-07-25 12:17:49",True,1286999090493116416
"2020-07-25 12:17:48",True,1286999088471384065
